year	trt	core	plot	depth	BD	TN	TC	IC	OC	CN	oCN
2008	P	1	13	30	1.520130862	0.167754197	1.807370019	0	1.807370019	10.77391834	10.77391834
2008	CCW	1	14	5	1.150776483	0.264271746	3.154475297	0.659	2.495475297	11.93648335	9.442838038
2008	CCW	1	14	15	1.356888702	0.24464765	2.834806105	0.493	2.341806105	11.58730159	9.572158586
2008	CCW	1	14	30	1.617803994	0.135643653	1.579777283	0.743	0.836777283	11.64652568	6.168938001
2008	CCW	1	14	5	1.139407682	0.284903945	3.243600669	0	3.243600669	11.38489209	11.38489209
2008	CCW	1	14	15	1.398800396	0.272431914	3.118506606	0.567	2.551506606	11.44692104	9.36566708
2008	CCW	1	14	30	1.492115437	0.188650303	2.15527351	0.518	1.63727351	11.42470206	8.678880872
2008	CCW	1	14	5	1.300666284	0.192177389	2.184710725	0	2.184710725	11.36819863	11.36819863
2008	CCW	1	14	15	1.443875344	0.18583972	2.049598655	0	2.049598655	11.02885139	11.02885139
2008	CCW	1	14	30	1.67139233	0.133379393	1.474887804	0	1.474887804	11.05783866	11.05783866
2008	CCW	1	14	5	1.528900987	0.231674802	2.783145973	0	2.783145973	12.01315789	12.01315789
2008	CCW	1	14	15	1.551021127	0.198914574	2.357203974	0	2.357203974	11.85033316	11.85033316
2008	CCW	1	14	30	1.457267883	0.204430252	2.512596381	0	2.512596381	12.29072682	12.29072682
2008	PF	1	15	5	1.071752808	0.321342396	3.840005507	0.694	3.146005507	11.94988757	9.790197443
2008	PF	1	15	15	1.399397986	0.294116408	3.48909853	0.694	2.79509853	11.86298497	9.503375031
2008	PF	1	15	30	1.387789777	0.230660359	2.734825068	0.51	2.224825068	11.85650224	9.645459125
2008	PF	1	15	5	1.129463677	0.316601938	3.81342712	0.627	3.18642712	12.04486346	10.06445865
2008	PF	1	15	15	1.267182926	0.285213535	3.394616422	0.663	2.731616422	11.90201729	9.577443177
2008	PF	1	15	30	1.517119188	0.180677864	2.253594279	0.977	1.276594279	12.47299602	7.065582083
2008	PF	1	15	5	1.119058945	0.262586806	3.226095689	0	3.226095689	12.28582555	12.28582555
2008	PF	1	15	15	1.426899302	0.246993831	3.048426586	0	3.048426586	12.34211627	12.34211627
2008	PF	1	15	30	1.434648262	0.174585867	2.090744835	0	2.090744835	11.97545295	11.97545295
2008	PF	1	15	5	1.149600238	0.315993001	3.887633879	0	3.887633879	12.30291135	12.30291135
2008	PF	1	15	15	1.346193606	0.278293776	3.406216092	0	3.406216092	12.23964166	12.23964166
2008	PF	1	15	30	1.528331582	0.191823555	2.249001567	0	2.249001567	11.72432432	11.72432432
2008	C2	1	16	5	1.058714101	0.304971836	3.499880382	0.637	2.862880382	11.47607737	9.387359901
