"year" "block" "plot" "trt" "depth" "point" "mass"
"2010" "2" "23" "PF" "100" "80" 0.33131786775
"2010" "2" "24" "P" "5" "2.5" 3.24168912875
"2010" "2" "24" "P" "15" "10" 1.5890386345
"2010" "2" "24" "P" "30" "22.5" 0.8072327045
"2010" "2" "24" "P" "60" "45" 0.90992102675
"2010" "2" "24" "P" "100" "80" 0.37117472875
"2010" "2" "25" "CCW" "5" "2.5" 0.23782569625
"2010" "2" "25" "CCW" "15" "10" 0.21410601975
"2010" "2" "25" "CCW" "30" "22.5" 0.21433063775
"2010" "2" "25" "CCW" "60" "45" 0.448543929
"2010" "2" "25" "CCW" "100" "80" 0.10118460025
"2010" "2" "26" "C2" "5" "2.5" 0.102695418
"2010" "2" "26" "C2" "15" "10" 0.075471698
"2010" "2" "26" "C2" "30" "22.5" 0.02547169825
"2010" "2" "26" "C2" "60" "45" 0.09501480775
"2010" "2" "26" "C2" "100" "80" 0.0948914115
"2010" "3" "31" "P" "5" "2.5" 5.008715184
"2010" "3" "31" "P" "15" "10" 1.48926325225
"2010" "3" "31" "P" "30" "22.5" 0.79330637925
"2010" "3" "31" "P" "60" "45" 1.1937314905
"2010" "3" "31" "P" "100" "80" 0.23667324775
"2010" "3" "32" "PF" "5" "2.5" 1.038230009
"2010" "3" "32" "PF" "15" "10" 0.5553009885
"2010" "3" "32" "PF" "30" "22.5" 0.3983827495
"2010" "3" "32" "PF" "60" "45" 0.684353406
"2010" "3" "32" "PF" "100" "80" 0.24296643625
"2010" "3" "33" "C2" "5" "2.5" 0.117834681
"2010" "3" "33" "C2" "15" "10" 0.10844564225
"2010" "3" "33" "C2" "30" "22.5" 0.0567385445
"2010" "3" "33" "C2" "60" "45" 0.1069842055
"2010" "3" "33" "C2" "100" "80" 0.1282082925
"2010" "3" "34" "S2" "5" "2.5" 0.08373764575
"2010" "3" "34" "S2" "15" "10" 0.0926774485
"2010" "3" "34" "S2" "30" "22.5" 0.1359838275
"2010" "3" "34" "S2" "60" "45" 0.1920039485
"2010" "3" "34" "S2" "100" "80" 0.11142645625
"2010" "3" "35" "CC" "5" "2.5" 0.12821203925
"2010" "3" "35" "CC" "15" "10" 0.1597933515
"2010" "3" "35" "CC" "30" "22.5" 0.157637017
"2010" "3" "35" "CC" "60" "45" 0.17300098725
"2010" "3" "35" "CC" "100" "80" 0.115745311
"2010" "3" "36" "CCW" "5" "2.5" 0.15040431275
"2010" "3" "36" "CCW" "15" "10" 0.41015274
"2010" "3" "36" "CCW" "30" "22.5" 0.19703504025
"2010" "3" "36" "CCW" "60" "45" 0.4665597235
"2010" "3" "36" "CCW" "100" "80" 0.1688055285
"2010" "4" "41" "PF" "5" "2.5" 1.64456424075
"2010" "4" "41" "PF" "15" "10" 0.420485175
"2010" "4" "41" "PF" "30" "22.5" 0.5038185085
"2010" "4" "41" "PF" "60" "45" 0.51616485675
"2010" "4" "41" "PF" "100" "80" 0.321939783
"2010" "4" "42" "CCW" "5" "2.5" 0.16864330625
